127.0.0.1 - [29 Jul 22 18:59 +07] GET / 200 19.5735ms 
[GIN] 2022/07/29 - 18:59:34 | 200 |     21.5924ms |       127.0.0.1 | GET      "/"
[GIN] 2022/07/29 - 18:59:34 | 200 |    240.0241ms |       127.0.0.1 | GET      "/static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css"
[GIN] 2022/07/29 - 18:59:34 | 200 |     208.939ms |       127.0.0.1 | GET      "/static/plugins/fontawesome-free/css/all.min.css"
[GIN] 2022/07/29 - 18:59:34 | 200 |      1.5255ms |       127.0.0.1 | GET      "/static/dist/css/mystyle.css"
[GIN] 2022/07/29 - 18:59:34 | 200 |      7.7338ms |       127.0.0.1 | GET      "/static/dist/img/AdminLTELogo.png"
[GIN] 2022/07/29 - 18:59:35 | 200 |     32.7062ms |       127.0.0.1 | GET      "/static/dist/img/profile.svg"
[GIN] 2022/07/29 - 18:59:35 | 200 |     95.1478ms |       127.0.0.1 | GET      "/static/plugins/jquery/jquery.min.js"
[GIN] 2022/07/29 - 18:59:35 | 200 |    209.2723ms |       127.0.0.1 | GET      "/static/dist/css/adminlte.min.css"
[GIN] 2022/07/29 - 18:59:35 | 200 |     51.6332ms |       127.0.0.1 | GET      "/static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js"
[GIN] 2022/07/29 - 18:59:35 | 200 |     56.1571ms |       127.0.0.1 | GET      "/static/plugins/bootstrap/js/bootstrap.bundle.min.js"
[GIN] 2022/07/29 - 18:59:35 | 200 |     95.9571ms |       127.0.0.1 | GET      "/static/plugins/jquery-mapael/jquery.mapael.min.js"
[GIN] 2022/07/29 - 18:59:35 | 200 |     89.3946ms |       127.0.0.1 | GET      "/static/plugins/jquery-mousewheel/jquery.mousewheel.js"
[GIN] 2022/07/29 - 18:59:35 | 200 |    138.4754ms |       127.0.0.1 | GET      "/static/plugins/raphael/raphael.min.js"
[GIN] 2022/07/29 - 18:59:35 | 200 |    135.7045ms |       127.0.0.1 | GET      "/static/dist/js/adminlte.js"
[GIN] 2022/07/29 - 18:59:35 | 200 |    115.6974ms |       127.0.0.1 | GET      "/static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2"
[GIN] 2022/07/29 - 18:59:35 | 200 |    110.3572ms |       127.0.0.1 | GET      "/static/plugins/jquery-mapael/maps/usa_states.min.js"
[GIN] 2022/07/29 - 18:59:35 | 200 |      47.688ms |       127.0.0.1 | GET      "/static/dist/js/adminlte.js.map"
[GIN] 2022/07/29 - 18:59:35 | 200 |    281.7007ms |       127.0.0.1 | GET      "/static/dist/css/adminlte.min.css.map"
[GIN] 2022/07/29 - 18:59:35 | 200 |      65.716ms |       127.0.0.1 | GET      "/static/plugins/bootstrap/js/bootstrap.bundle.min.js.map"
127.0.0.1 - [29 Jul 22 18:59 +07] GET / 200 1.0106ms 
[GIN] 2022/07/29 - 18:59:47 | 200 |      2.1949ms |       127.0.0.1 | GET      "/"
[GIN] 2022/07/29 - 18:59:47 | 200 |      4.0031ms |       127.0.0.1 | GET      "/static/dist/css/adminlte.min.css"
